Symbol,Open Interest(11-Apr-2025),Open Interest(09-Apr-2025),chngin OI,%chngin OI,Volume(contracts),Futures Value(₹ Lakhs),Options Value(Premium) (₹ Lakhs),Total Value(₹ Lakhs),Underlying value,Scraped_At
BAJAJ-AUTO,"65,064","67,172","-2,108",-3.14,"46,881","29,652.84","3,695.11","33,347.95","7,779.00",2025-04-14 11:26:19
MCX,"35,011","36,218","-1,207",-3.33,"48,603","36,710.79","5,866.17","42,576.96","5,436.00",2025-04-14 11:26:19
LUPIN,"32,497","33,938","-1,441",-4.25,"30,203","38,829.83","3,398.18","42,228.01","1,971.00",2025-04-14 11:26:19
NATIONALUM,"46,157","48,355","-2,198",-4.55,"2,390","4,427.18",210.39,"4,637.57",143.00,2025-04-14 11:26:19
PIIND,"26,040","16,152","9,888",61.22,"1,16,949","63,957.00","10,233.85","74,190.84","3,618.00",2025-04-14 11:26:46
KPITTECH,"23,227","17,455","5,772",33.07,"42,326","21,120.23","3,531.74","24,651.98","1,123.00",2025-04-14 11:26:46
INOXWIND,"5,496","4,190","1,306",31.17,"9,720","11,711.43","1,186.98","12,898.41",151.00,2025-04-14 11:26:46
CAMS,"27,634","21,728","5,906",27.18,"19,879","43,182.47","1,198.78","44,381.25","3,722.00",2025-04-14 11:26:46
MUTHOOTFIN,"46,779","37,050","9,729",26.26,"1,29,956","1,03,424.61","15,254.23","1,18,678.84","2,015.00",2025-04-14 11:26:46
NIFTY,"55,01,088","45,46,992","9,54,096",20.98,"4,80,15,407","23,45,287.14","41,20,532.09","64,65,819.23","22,828.00",2025-04-14 11:26:46
ICICIGI,"37,380","31,328","6,052",19.32,"43,668","35,393.23","3,194.76","38,587.99","1,706.00",2025-04-14 11:26:46
MARICO,"30,341","25,794","4,547",17.63,"32,129","49,302.97","3,244.19","52,547.16",708.00,2025-04-14 11:26:46
NBCC,"9,782","8,470","1,312",15.49,"11,272","23,313.62","1,036.14","24,349.76",88.00,2025-04-14 11:26:46
COFORGE,"1,19,952","1,06,157","13,795",12.99,"1,84,156","1,15,588.75","18,047.87","1,33,636.62","6,311.00",2025-04-14 11:26:46
SONACOMS,"30,386","27,255","3,131",11.49,"16,011","23,628.80",627.62,"24,256.42",430.00,2025-04-14 11:26:46
PAGEIND,"16,981","15,279","1,702",11.14,"14,893","30,003.55",919.85,"30,923.40","44,202.00",2025-04-14 11:26:46
MFSL,"12,028","10,911","1,117",10.24,"12,582","17,470.60","1,751.84","19,222.45","1,163.00",2025-04-14 11:26:46
SIEMENS,"79,010","71,792","7,218",10.05,"54,585","16,109.38","1,756.60","17,865.98","2,726.00",2025-04-14 11:26:46
SRF,"24,982","22,822","2,160",9.46,"54,111","76,733.97","9,295.78","86,029.76","2,938.00",2025-04-14 11:26:46
TORNTPHARM,"14,226","13,001","1,225",9.42,"13,567","20,210.65",858.50,"21,069.15","3,129.00",2025-04-14 11:26:46
IGL,"33,240","30,453","2,787",9.15,"38,469","27,270.55","3,784.78","31,055.33",174.00,2025-04-14 11:26:46
HAVELLS,"23,375","21,594","1,781",8.25,"32,212","64,727.43","3,601.58","68,329.00","1,527.00",2025-04-14 11:26:46
CHAMBLFERT,"11,749","10,855",894,8.24,"18,135","33,613.93","4,051.39","37,665.32",646.00,2025-04-14 11:26:46
TATAELXSI,"43,286","40,120","3,166",7.89,"19,716","34,438.32","1,302.50","35,740.82","4,748.00",2025-04-14 11:26:46
DEEPAKNTR,"12,440","11,576",864,7.46,"27,437","25,815.50","2,446.34","28,261.84","1,936.00",2025-04-14 11:26:46
SBILIFE,"41,675","38,954","2,721",6.99,"17,507","16,952.06",958.76,"17,910.82","1,526.00",2025-04-14 11:26:46
GODREJPROP,"43,159","40,365","2,794",6.92,"32,245","31,225.57","2,435.87","33,661.44","1,945.00",2025-04-14 11:26:46
BHARTIARTL,"1,47,710","1,38,183","9,527",6.89,"1,25,690","1,18,797.55","9,257.72","1,28,055.27","1,760.00",2025-04-14 11:26:46
MAXHEALTH,"30,117","28,277","1,840",6.51,"23,304","24,273.51","2,204.56","26,478.07","1,089.00",2025-04-14 11:26:46
WIPRO,"64,966","61,012","3,954",6.48,"39,004","63,103.72","4,862.87","67,966.59",240.00,2025-04-14 11:26:46
GLENMARK,"28,168","26,458","1,710",6.46,"32,539","27,381.85","2,403.71","29,785.57","1,380.00",2025-04-14 11:26:46
NESTLEIND,"66,778","62,876","3,902",6.21,"39,065","38,365.97","1,959.34","40,325.32","2,355.00",2025-04-14 11:26:46
TITAGARH,"15,360","14,500",860,5.93,"11,817","8,815.52",874.77,"9,690.29",752.00,2025-04-14 11:26:46
KEI,"33,577","31,716","1,861",5.87,"19,420","12,489.48","1,079.29","13,568.76","2,603.00",2025-04-14 11:26:46
ICICIPRULI,"30,421","28,762","1,659",5.77,"17,108","15,192.00","1,267.85","16,459.85",551.00,2025-04-14 11:26:46
OBEROIRLTY,"17,882","16,912",970,5.74,"18,145","19,282.34","1,627.21","20,909.55","1,541.00",2025-04-14 11:26:46
TATATECH,"25,520","24,174","1,346",5.57,"10,172","17,748.77",451.57,"18,200.33",632.00,2025-04-14 11:26:46
DIVISLAB,"44,755","42,400","2,355",5.55,"54,231","52,481.03","4,115.16","56,596.20","5,600.00",2025-04-14 11:26:46
POWERGRID,"72,567","68,766","3,801",5.53,"55,728","56,312.51","4,044.83","60,357.34",303.00,2025-04-14 11:26:46
KALYANKJIL,"41,134","38,989","2,145",5.50,"67,646","29,033.60","6,707.80","35,741.40",508.00,2025-04-14 11:26:46
DABUR,"40,351","38,253","2,098",5.48,"24,512","22,486.02","1,403.81","23,889.83",461.00,2025-04-14 11:26:46
VOLTAS,"88,827","84,286","4,541",5.39,"45,172","34,061.14","2,299.63","36,360.77","1,286.00",2025-04-14 11:26:46
HUDCO,"17,541","16,656",885,5.31,"21,237","24,978.29","2,579.74","27,558.03",215.00,2025-04-14 11:26:46
ITC,"1,15,609","1,09,838","5,771",5.25,"88,030","74,539.53","5,951.32","80,490.85",422.00,2025-04-14 11:26:46
TCS,"2,53,873","2,41,370","12,503",5.18,"4,88,281","2,27,268.44","32,297.12","2,59,565.56","3,238.00",2025-04-14 11:26:46
JSWSTEEL,"71,639","68,150","3,489",5.12,"60,047","61,987.60","6,546.06","68,533.66",992.00,2025-04-14 11:26:46
GAIL,"63,811","60,809","3,002",4.94,"20,283","28,108.41","1,241.33","29,349.74",171.00,2025-04-14 11:26:46
HDFCAMC,"27,931","26,644","1,287",4.83,"24,847","28,120.93","2,630.06","30,750.99","3,979.00",2025-04-14 11:26:46
NYKAA,"16,263","15,520",743,4.79,"7,480","11,634.41",606.57,"12,240.99",179.00,2025-04-14 11:26:46
HINDUNILVR,"1,11,284","1,06,219","5,065",4.77,"79,665","74,024.72","4,832.09","78,856.81","2,362.00",2025-04-14 11:26:46
PATANJALI,"16,453","15,709",744,4.74,"19,615","18,418.44","1,428.37","19,846.81","1,890.00",2025-04-14 11:26:46
HCLTECH,"77,844","74,339","3,505",4.71,"49,026","54,882.73","3,632.33","58,515.06","1,393.00",2025-04-14 11:26:46
HDFCBANK,"3,25,318","3,10,693","14,625",4.71,"2,28,948","3,22,258.62","22,774.44","3,45,033.07","1,805.00",2025-04-14 11:26:46
TATAMOTORS,"3,73,332","3,56,563","16,769",4.70,"3,62,572","1,29,581.96","21,127.05","1,50,709.01",596.00,2025-04-14 11:26:46
CIPLA,"69,348","66,364","2,984",4.50,"1,12,498","52,858.43","6,675.12","59,533.56","1,459.00",2025-04-14 11:26:46
PNBHOUSING,"8,427","8,065",362,4.49,"13,494","16,218.66","2,106.51","18,325.18",978.00,2025-04-14 11:26:46
PERSISTENT,"86,363","82,738","3,625",4.38,"83,674","72,105.73","7,027.55","79,133.28","4,541.00",2025-04-14 11:26:46
FINNIFTY,"49,036","46,991","2,045",4.35,"1,14,421","12,681.83","14,867.42","27,549.25","24,555.00",2025-04-14 11:26:46
IREDA,"29,812","28,598","1,214",4.25,"10,032","15,642.47",731.97,"16,374.43",154.00,2025-04-14 11:26:46
ETERNAL,"1,66,127","1,59,404","6,723",4.22,"74,143","74,561.06","4,678.51","79,239.56",216.00,2025-04-14 11:26:46
LICHSGFIN,"35,071","33,664","1,407",4.18,"14,661","16,232.43","1,214.81","17,447.23",558.00,2025-04-14 11:26:46
DALBHARAT,"14,790","14,204",586,4.13,"4,364","7,047.81",274.47,"7,322.28","1,811.00",2025-04-14 11:26:46
DIXON,"74,868","71,914","2,954",4.11,"3,21,194","1,69,617.16","45,244.92","2,14,862.08","14,260.00",2025-04-14 11:26:46
MRF,"17,185","16,507",678,4.11,"12,282","26,523.76",433.40,"26,957.16","1,17,490.00",2025-04-14 11:26:46
IRFC,"34,693","33,328","1,365",4.10,"13,088","16,350.79",889.24,"17,240.03",124.00,2025-04-14 11:26:46
INFY,"2,57,233","2,47,178","10,055",4.07,"1,43,220","1,93,801.84","12,838.35","2,06,640.19","1,416.00",2025-04-14 11:26:46
BALKRISIND,"14,354","13,806",548,3.97,"7,863","23,158.23",540.90,"23,699.13","2,338.00",2025-04-14 11:26:46
ADANIENSOL,"29,559","28,435","1,124",3.95,"13,431","19,015.62","1,145.68","20,161.30",842.00,2025-04-14 11:26:46
HDFCLIFE,"50,207","48,329","1,878",3.89,"18,181","32,480.44","1,349.58","33,830.03",684.00,2025-04-14 11:26:46
TIINDIA,"16,064","15,491",573,3.70,"3,966","7,038.82",160.66,"7,199.48","2,518.00",2025-04-14 11:26:46
CONCOR,"27,239","26,283",956,3.64,"22,236","26,623.65","2,031.36","28,655.01",682.00,2025-04-14 11:26:46
CUMMINSIND,"33,274","32,111","1,163",3.62,"22,843","27,266.51","1,517.25","28,783.76","2,806.00",2025-04-14 11:26:46
BRITANNIA,"51,850","50,074","1,776",3.55,"37,035","22,425.11","2,251.82","24,676.93","5,340.00",2025-04-14 11:26:46
KOTAKBANK,"1,17,476","1,13,471","4,005",3.53,"1,35,228","1,54,079.49","13,207.60","1,67,287.09","2,109.00",2025-04-14 11:26:46
JUBLFOOD,"19,743","19,087",656,3.44,"12,909","19,286.59","1,823.75","21,110.34",686.00,2025-04-14 11:26:46
SHREECEM,"12,932","12,507",425,3.40,"6,869","15,833.31",452.18,"16,285.50","30,100.00",2025-04-14 11:26:46
AUBANK,"43,004","41,632","1,372",3.30,"17,180","36,164.60","1,133.58","37,298.19",557.00,2025-04-14 11:26:46
JSWENERGY,"37,745","36,546","1,199",3.28,"13,452","16,962.46",740.82,"17,703.28",493.00,2025-04-14 11:26:46
LICI,"17,785","17,254",531,3.08,"6,213","7,285.01",246.20,"7,531.21",770.00,2025-04-14 11:26:46
NTPC,"1,20,791","1,17,218","3,573",3.05,"84,125","53,476.54","5,331.67","58,808.21",359.00,2025-04-14 11:26:46
BPCL,"58,209","56,503","1,706",3.02,"31,980","28,708.73","2,917.43","31,626.16",292.00,2025-04-14 11:26:46
ASTRAL,"24,713","23,997",716,2.98,"15,350","12,590.59",998.44,"13,589.02","1,246.00",2025-04-14 11:26:46
AXISBANK,"1,59,968","1,55,388","4,580",2.95,"82,609","1,14,405.65","6,732.63","1,21,138.28","1,068.00",2025-04-14 11:26:46
SUNPHARMA,"89,489","86,929","2,560",2.94,"94,927","74,393.48","6,076.11","80,469.58","1,687.00",2025-04-14 11:26:46
DELHIVERY,"26,838","26,096",742,2.84,"17,657","10,926.11","1,007.02","11,933.13",246.00,2025-04-14 11:26:46
GMRAIRPORT,"54,953","53,435","1,518",2.84,"21,116","29,971.96","1,681.15","31,653.11",85.00,2025-04-14 11:26:46
TATACOMM,"29,518","28,705",813,2.83,"17,628","18,191.48","1,101.41","19,292.89","1,555.00",2025-04-14 11:26:46
ICICIBANK,"2,17,495","2,11,565","5,930",2.80,"98,409","2,02,146.49","10,219.02","2,12,365.51","1,312.00",2025-04-14 11:26:46
BHEL,"51,092","49,713","1,379",2.77,"25,868","30,625.93","2,486.30","33,112.23",212.00,2025-04-14 11:26:46
IRB,"16,714","16,268",446,2.74,"5,375","10,521.25",343.32,"10,864.57",44.00,2025-04-14 11:26:46
