event_url,id,eventId,section,sectionMapName,row,seat,seatFrom,seatTo,seatFromInternal,availableTickets
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9649320109,157970567,641,641,33,12_16,12,16,12,5
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9532868587,157970567,612,612,35,21_22,,,21,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222581776,157970567,613,613,34,17_24,17,24,17,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9413053511,157970567,647,647,29,1_4,1,4,1,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9223366478,157970567,644,644,31,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9223347291,157970567,612,612,33,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9637561174,157970567,648,648,15,1_8,1,8,1,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9413095043,157970567,651,651,14,11_12,11,12,11,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9637561177,157970567,606,606,15,5_12,5,12,5,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9244537367,157970567,641,641,18,9_10,9,10,9,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,-9713284687,157970567,142,,18,9_12,,,9,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9499990096,157970567,640,640,32,16_17,16,17,16,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9609695111,157970567,608,608,29,5_6,5,6,5,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9413095060,157970567,602,602,14,4_5,4,5,4,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9637561180,157970567,605,605,15,1_8,1,8,1,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9471219026,157970567,608,608,28,1_2,1,2,1,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9413053467,157970567,647,647,20,6_13,6,13,6,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222813101,157970567,645,645,26,23_25,23,25,23,3
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222813028,157970567,608,608,26,7_10,7,10,7,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9599180517,157970567,652,652,13,,,,,3
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9255243669,157970567,615,615,11,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9246077621,157970567,644,644,19,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9745692771,157970567,640,640,28,,,,,4
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9473633886,157970567,603,603,14,11_12,11,12,11,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222568363,157970567,613,613,32,18_23,,,18,6
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9609695059,157970567,607,607,27,1_2,1,2,1,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9246077622,157970567,610,610,38,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9269804295,157970567,610,610,27,,,,,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9244560854,157970567,643,643,19,19_20,19,20,19,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222655869,157970567,642,642,32,13_18,,,13,6
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9222751603,157970567,611,611,32,13_15,13,15,13,3
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9609695039,157970567,604,604,14,10_11,10,11,10,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9413053464,157970567,645,645,20,1_8,1,8,1,8
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9244560850,157970567,642,642,20,1_2,1,2,1,2
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9508760854,157970567,648,648,11,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9508760873,157970567,640,640,24,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9508760885,157970567,640,640,23,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9708458303,157970567,608,608,20,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9753303757,157970567,613,613,25,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9754524790,157970567,610,610,23,,,,,1
https://www.stubhub.com/chris-brown-new-orleans-tickets-10-16-2025/event/157970567/?quantity=0,9422123393,157970567,647,647,13,18_19,18,19,18,2
