main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Hidratação,Óleo de Girassol Farmax 100 Ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/oleo-de-girassol-farmax-100-ml-5217458/p,,,,12.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Espuma Cremosa de Limpeza Hidratante Cerave Sem Perfume 60g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/espuma-cremosa-de-limpeza-hidratante-cerave-sem-perfume-60g-3073548/p,,,,49.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Óleo de Ricino P.E.T 30 Ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/oleo-de-ricino-pet-30-ml-5352851/p,,,,9.49
Mercado,Drogaria,Dermocosméticos,Hidratação,Máscara Facial Kera Soluctions Dercos 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/mascara-facial-kera-soluctions-dercos-200ml-6249558/p,,,,169.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Vichy Mineral 89 Probiotic 30 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-mineral-89-probiotic-30-ml-6472290/p,,,,279.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Kit Pomada Reparadora Aquaphor Pele Sensível Eucerin 2 Unidades 55ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-pomada-reparadora-aquaphor-pele-sensivel-eucerin-2-unidades-55ml-6031846/p,,,,57.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Para Assaduras Hipoglós Amêndoas Nutre e Recupera Com 80g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-para-assaduras-hipoglos-amendoas-nutre-e-recupera-com-80g-5852986/p,,,,45.69
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Corporal Umiditá Ai Para Pele Sensível Com 120ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-corporal-umidita-ai-para-pele-sensivel-com-120ml-5416493/p,,,,99.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Óleo de Banho Atoderm Bioderma 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/oleo-de-banho-atoderm-bioderma-200ml-6031773/p,,,,129.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Cetaphil Advanced Moisturizer Com 473ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-cetaphil-advanced-moisturizer-com-473ml-5368367/p,,,,139.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Sérum Ultra Concentrado Effaclar La Roche Posay 30ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/serum-ultra-concentrado-effaclar-la-roche-posay-30ml-6632823/p,,,,239.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Hidratante Cetaphil Pele Extremamente Seca e Sensível Com 250g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-hidratante-cetaphil-pele-extremamente-seca-e-sensivel-com-250g-5363284/p,,,,89.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Loção Hidratante Dermovance S 500ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-locao-hidratante-dermovance-s-500ml-6035760/p,,,,124.18
Mercado,Drogaria,Dermocosméticos,Hidratação,Vichy Mineral 80 Booter Quotidien 50 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-mineral-80-booter-quotidien-50-ml-5419816/p,,,,214.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Corporal Fisiogel 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-corporal-fisiogel-400ml-6031706/p,,,,199.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Gel Hidratante Facial Actine Aquaforce 40g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-hidratante-facial-actine-aquaforce-40g-3264424/p,,,,74.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Facial La Roche-Posay Toleriane Sensitive Com 40ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-facial-la-rocheposay-toleriane-sensitive-com-40ml-6037461/p,,,,159.9
Mercado,Drogaria,Dermocosméticos,Hidratação,"Reparador Labial La Roche Posay Ciplast 7 , 5 Ml",https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/reparador-labial-la-roche-posay-ciplast-7-5-ml-5426677/p,,,,76.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Vichy Neovadiol Phytosculpt 50ML,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-neovadiol-phytosculpt-50ml-6033806/p,,,,309.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Emulsão Corporal Principia Ec-01 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/emulsao-corporal-principia-ec01-200ml-3423115/p,,,,49
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Corporal Isdin Ureadin 10% 100ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-corporal-isdin-ureadin-10-100ml-3073718/p,,,,44.9
