main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Enxaguante Bucal Antisséptico Zero Álcool Melancia e Hortelã Listerine 250ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/enxaguante-bucal-antisseptico-zero-alcool-melancia-e-hortela-listerine-250ml-3244288/p,,-22%,21.59,16.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Escova de Dente Colgate ZigZag Carvão 4 Unidades,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/escova-de-dente-colgate-zigzag-carvao-4-unidades-6666167/p,BAIXOU O PREÇOBadge da promoção BAIXOU O PREÇO,,,18.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete em Barra Protex Carvão Detox 6 Unidades,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-em-barra-protex-carvao-detox-6-unidades-6664776/p,,,,18.29
Mercado,Drogaria,Dermocosméticos,Limpeza,Enxaguante Bucal Antisséptico Zero Álcool Melancia e Hortelã Listerine 250ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/enxaguante-bucal-antisseptico-zero-alcool-melancia-e-hortela-listerine-250ml-3244407/p,,,,15.69
Mercado,Drogaria,Dermocosméticos,Limpeza,Creme Dental Colgate Sensitive Pro-Alívio Imediato Extreme 140g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-dental-colgate-sensitive-proalivio-imediato-extreme-140g-3115909/p,40% OFF NA 2 UNBadge da promoção 40% OFF NA 2 UN,,,19.2
Mercado,Drogaria,Dermocosméticos,Limpeza,Desodorante Antitranspirante Roll On Sem Perfume NIVEA 50ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/desodorante-antitranspirante-roll-on-sem-perfume-nivea-50ml-9001972/p,,,,14.05
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Palmolive Luminous Oil Figo e Orquídea Branca 250ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-palmolive-luminous-oil-figo-e-orquidea-branca-250ml-6396534/p,,,,11.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Creme Dental Clareador Colgate Luminous White Glow 70g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-dental-clareador-colgate-luminous-white-glow-70g-6997473/p,,-14%,20.79,17.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Desodorante Antitranspirante Aerossol NIVEA Derma Protect Clinical 150ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/desodorante-antitranspirante-aerossol-nivea-derma-protect-clinical-150ml-5391571/p,,,,19.39
Mercado,Drogaria,Dermocosméticos,Limpeza,Pasta de Dente Elmex Sensitive Whitening 110g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/pasta-de-dente-elmex-sensitive-whitening-110g-3214150/p,,,,29.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Shampoo Elseve Glycolic Gloss 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/shampoo-elseve-glycolic-gloss-400ml-3404340/p,,,,22.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel De Limpeza Suave Skincare Gl-02 350ml Principia,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-suave-skincare-gl02-350ml-principia-3484793/p,,,,49
Mercado,Drogaria,Dermocosméticos,Limpeza,Desodorante Antitranspirante Aerossol NIVEA MEN Derma Protect Clinical 150ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/desodorante-antitranspirante-aerossol-nivea-men-derma-protect-clinical-150ml-5391261/p,,,,19.39
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Escova Dental Sensodyne Limpeza Profunda Extra Macia 2 Unidades,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-escova-dental-sensodyne-limpeza-profunda-extra-macia-2-unidades-3179737/p,70% OFF NA 2 UNBadge da promoção 70% OFF NA 2 UN,,,37.69
Mercado,Drogaria,Dermocosméticos,Limpeza,Loção Demaquilante Loreal Agua Micelar 200 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-demaquilante-loreal-agua-micelar-200-ml-9856730/p,30% OFFBadge da promoção 30% OFF,-30%,31.09,21.76
Mercado,Drogaria,Dermocosméticos,Limpeza,Loção Antiperspirante para Mãos e Pés Biolab M&P Dry com 60 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-antiperspirante-para-maos-e-pes-biolab-mp-dry-com-60-ml-5388210/p,,-19%,160.48,129.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Íntimo Líquido Hidraderm Fresh 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-intimo-liquido-hidraderm-fresh-200ml-3289478/p,,,,14.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Colônia Johnsons Baby Lavanda Com 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/colonia-johnsons-baby-lavanda-com-200ml-7291450/p,,,,35.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Perfume Coffret The Golden Secret Banderas Masculino + 01 Banderas The Golden Secret Desodorante Spray 150ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-perfume-coffret-the-golden-secret-banderas-masculino-01-banderas-the-golden-secret-desodorante-spray-150ml-3329151/p,,,,239.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Sensodyne Proteção Completa Mais Creme Dental para Dentes sensíveis 2 Unidades 90g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-sensodyne-protecao-completa-mais-creme-dental-para-dentes-sensiveis-2-unidades-90g-3179621/p,70% OFF NA 2 UNBadge da promoção 70% OFF NA 2 UN,,,36.49
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Íntimo Líquido Hidraderm Neutro 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-intimo-liquido-hidraderm-neutro-200ml-3293343/p,,,,14.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Banderas Her Golden Secret - Perfume Feminino 80ml + Desodorante 150ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-banderas-her-golden-secret-perfume-feminino-80ml-desodorante-150ml-3329135/p,,,,239.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Esfoliante Facial Purificante Neutrogena Purified Skin 100g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/esfoliante-facial-purificante-neutrogena-purified-skin-100g-5774179/p,,,,54.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Effaclar Gel de Limpeza Facial 300 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/effaclar-gel-de-limpeza-facial-300-g-6070116/p,,,,109.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Creme Dental Elmex Sensitive Professional 75g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-dental-elmex-sensitive-professional-75g-3186210/p,,,,19.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Íntimo em Gel Gino-Canesten Calm Kit Promocional 2 Unidades 50% Desconto na Segunda Unidade,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-intimo-em-gel-ginocanesten-calm-kit-promocional-2-unidades-50-desconto-na-segunda-unidade-6514960/p,,,,70.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Facial Dermotivin Original 70ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-facial-dermotivin-original-70ml-5409560/p,,,,39.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Feminino Love Secret Best Sellers Loção Corporal 60ml Cada,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-feminino-love-secret-best-sellers-locao-corporal-60ml-cada-3319563/p,,,,59.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Hidratante Corporal Paixão Irresistível com 400 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-corporal-paixao-irresistivel-com-400-ml-5469317/p,,,,19.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Refil Gel de Limpeza Facial Effaclar Alta Tolerância com 240 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/refil-gel-de-limpeza-facial-effaclar-alta-tolerancia-com-240-g-6464106/p,,,,84.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Facial Ivy C com 200 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-facial-ivy-c-com-200-ml-6679200/p,,,,74.9
