Title,Company,Work Type,Location,Job Type,Posted,Job URL
Traineeship in a Global Education Project,HOPE FOUNDATION CAMEROON,On-site,"Berlin, BE, Germany",Part Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/0353e4405f234aacb5d3b9ef72386144-traineeship-in-a-global-education-project-hope-foundation-cameroon-berlin
Conservation Capacity Development Lead,Lion Landscapes,On-site,"Iringa, Mkoa wa Iringa, Tanzania",Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/39031aa2bedd43b293f488b62ec40b79-conservation-capacity-development-lead-lion-landscapes-iringa
Director of Development,MAD,Remote,United States,Full Time,Posted 22 hours ago,https://www.idealist.org/en/nonprofit-job/a37ffb41758f42f281d84e58f4177b43-director-of-development-mad-kobenhavn
Director of Development,MAD,On-site,"Copenhagen, XA, Denmark",Full Time,Posted 22 hours ago,https://www.idealist.org/en/nonprofit-job/5af28c412c644d82b4c95dc63bd41e77-director-of-development-mad-copenhagen
Field Scientist,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/dac17e87870148358ef68cb6d978b628-field-scientist-panthera-tabora
Data and Technology Technician,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/836105f13463433cab52b02f9a310f1d-data-and-technology-technician-panthera-tabora
Administrative and Operations Support,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/ec167b96b6dd4397b1d4d806df847476-administrative-and-operations-support-panthera-tabora
Programme Coordinator - DRC,INTERSOS,On-site,"Goma, North-Kivu, Democratic Republic of the Congo",Full Time,Posted 22 days ago,https://www.idealist.org/en/nonprofit-job/98ccdafbf7154ab28888c1651f68c36b-programme-coordinator-drc-intersos-goma
Head of Mission - DRC,INTERSOS,On-site,"Goma, North-Kivu, Democratic Republic of the Congo",Full Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/5a2bb2a2dcf848b7be1c7470097b9339-head-of-mission-drc-intersos-goma
Business Incubator Lead – Community-Based Nutrition Production Initiative,Kigutu International Academy,Hybrid,"Bujumbura, Bujumbura Mairie, Burundi",Full Time,Posted 2 days ago,https://www.idealist.org/en/nonprofit-job/1397491a785a42da991da9b03d6823f1-business-incubator-lead-community-based-nutrition-production-initiative-kigutu-international-academy-bujumbura
Head of School,Kigutu International Academy,On-site,"Bujumbura, Bujumbura Mairie, Burundi",Full Time,Posted 2 days ago,https://www.idealist.org/en/nonprofit-job/a8efbf4e8bec4150aec6272a6105f2a8-head-of-school-kigutu-international-academy-bujumbura
Head of Pediatrics,Kigutu International Academy,On-site,"Bujumbura, Bujumbura Mairie, Burundi",Full Time,Posted 2 days ago,https://www.idealist.org/en/nonprofit-job/478f5c0f553f4ba8a080e06270724a44-head-of-pediatrics-kigutu-international-academy-bujumbura
Senior Director of Administration and Operations,Kigutu International Academy,On-site,"Bujumbura, Bujumbura Mairie, Burundi",Full Time,Posted 20 days ago,https://www.idealist.org/en/nonprofit-job/a41f4a5f5c944a87818816fa1a2df9b1-senior-director-of-administration-and-operations-kigutu-international-academy-bujumbura
Web Developer (F/M/X),International Paralympic Committee,On-site,"Bonn, NRW, Germany",Full Time,Posted 1 day ago,https://www.idealist.org/en/nonprofit-job/fca0da0533c74335996664a7f4d49a4a-web-developer-fmx-international-paralympic-committee-bonn
Assistenz und Sachbearbeitung Betriebsrat (in Teilzeit 50%)*,Welthungerhilfe,Hybrid,"Bonn, NRW, Germany",Part Time,Posted 2 days ago,https://www.idealist.org/en/nonprofit-job/643854f22aa1489e98a55a995177c05e-assistenz-und-sachbearbeitung-betriebsrat-in-teilzeit-50-welthungerhilfe-bonn
Compliance Management System Project Lead*,Welthungerhilfe,Hybrid,"Bonn, NRW, Germany",Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/4b9bd88290e6408a8c6f6ab4e5bd5365-compliance-management-system-project-lead-welthungerhilfe-bonn
Project Manager Digital Transformation*,Welthungerhilfe,Hybrid,"Bonn, NRW, Germany",Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/ea670bd44a9444c5aa5a25818010b635-project-manager-digital-transformation-welthungerhilfe-bonn
Climate and Ecosystem Services Officer (m-f-d),Forest Stewardship Council International,Hybrid,"Bonn, NRW, Germany",Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/363d23523f454e519169e0fef509c938-climate-and-ecosystem-services-officer-m-f-d-forest-stewardship-council-international-bonn
Expert Emergencies - Communication (Part-time)*,Welthungerhilfe,Hybrid,"Bonn, NRW, Germany",Part Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/110f88760ead4cf096f6bf3b55eaa537-expert-emergencies-communication-part-time-welthungerhilfe-bonn
